NM_005263	GFI1
NM_005665	EVI5
NM_001167830	TMED5
NR_034089	CCDC18-AS1
NM_001261408	BCAR3
NM_004815	ARHGAP29
NM_144988	ALG14
NM_000110	DPYD
NR_046105	MIR137HG
NR_039604	MIR2682
NM_001037317	PLPPR5
NM_001013660	FRRS1
NM_194292	SASS6
NM_001256385	LRRC39
NM_001918	DBT
NR_038914	LINC01349
NR_048570	EXTL2
NM_001077394	DPH5
NM_058170	OLFM3
NM_006113	VAV3
NM_144584	HENMT1
NM_152763	AKNAD1
NM_001048210	CLCC1
NM_001142550	WDR47
NM_001122961	CFAP276
NM_032636	PSRC1
NM_001010985	MYBPHL
NM_001205228	SORT1
NM_020703	AMIGO1
NM_000849	GSTM3
NM_139053	EPS8L3
