gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
NPEPL1,3.594736302815643,4.14540608697452,-0.5506697841588775,-4.738201932400457,43.614835533211945,2.3139318855669444e-05,0.00013250818741192296,0.13789997075265295,0.14053597447250707,ns,ns,ns
SHMT1,2.634328375606977,3.742714417469463,-1.1083860418624858,-4.7368142708409025,43.614835533211945,2.3243979658138514e-05,0.00013302393490677585,0.6058412224229865,0.5696938478883125,Down,Down,ns
TMEM184B,4.339578478536556,3.7309651033964517,0.6086133751401039,4.736731420407308,43.614835533211945,2.325024315119606e-05,0.00013302393490677585,0.17196108279226702,0.17177407189802835,Up,ns,ns
NRBP1,5.442191910303979,4.95932090854481,0.4828710017591691,4.736069330532492,43.614835533211945,2.3300356842392844e-05,0.00013325087480315514,0.1025958739137149,0.1081579119097769,ns,ns,ns
TPSAB1,4.512910500661865,6.381987881738645,-1.8690773810767807,-4.735717070806531,43.614835533211945,2.332706273389107e-05,0.00013334380593693984,1.7518789310283995,1.6207469536442427,Down,Down,Down
PRC1,3.4474120783412605,2.361686297154216,1.0857257811870444,4.735341478245478,43.614835533211945,2.3355570731187214e-05,0.00013338718922294247,0.5810725004715666,0.5469779791719818,Up,Up,ns
ADM5,1.016578154975683,1.756127197174447,-0.739549042198764,-4.735428396453984,43.614835533211945,2.3348970471737118e-05,0.00013338718922294247,0.2613716919302841,0.25377425192386605,Down,ns,ns
ZNF26,1.2728671410828014,1.6885958617003043,-0.4157287206175029,-4.733455191597809,43.614835533211945,2.349926164146865e-05,0.00013414775457191124,0.07217609928867831,0.080259354684337,ns,ns,ns
SCARNA9,2.712872014914035,3.8104296005911906,-1.0975575856771558,-4.730967138812037,43.614835533211945,2.369012389524805e-05,0.00013517680091100598,0.5952697694822285,0.5599985661691296,Down,Down,ns
RP2,2.586571488151133,2.038099113992089,0.548472374159044,4.730455226200824,43.614835533211945,2.3729582225406887e-05,0.00013534139629723348,0.13717774977570502,0.13987361179878058,ns,ns,ns
AAGAB,3.4208887061840985,2.933200714944936,0.4876879912391625,4.729514786613819,43.614835533211945,2.3802240064041413e-05,0.00013569511289080024,0.10529419505234427,0.11063259384370247,ns,ns,ns
CDAN1,1.6978069704025034,2.1552823273905126,-0.45747535698800923,-4.726688970772623,43.614835533211945,2.402188033068242e-05,0.0001368860767905241,0.09093781302689434,0.09746608125693113,ns,ns,ns
METTL3,3.5007337751614016,4.024642109727559,-0.523908334566157,-4.726352461065442,43.614835533211945,2.4048168473456144e-05,0.00013697467286377232,0.12406428532167935,0.12784700269322521,ns,ns,ns
KLF4,4.824012705348073,6.804281965639217,-1.980269260291144,-4.725902864873545,43.614835533211945,2.4083335100177905e-05,0.00013711373773775393,1.9766451520237134,1.8268843545973272,Down,Down,Down
CXCL12,4.8824924007468855,6.3826511712911635,-1.500158770544278,-4.725446652893312,43.614835533211945,2.4119070909600637e-05,0.00013725591758596026,1.128055547662137,1.0486265952939453,Down,Down,Down
GRHL2,1.4038256859833116,2.6382390161779474,-1.2344133301946358,-4.725291036668396,43.614835533211945,2.4131272502225798e-05,0.0001372641026854976,0.7588944911504051,0.7100619284794876,Down,Down,ns
MARCKS,5.121472051183145,4.22050814318428,0.9009639079988645,4.724590452616278,43.614835533211945,2.4186279299565072e-05,0.00013751565756012189,0.3972290763714973,0.37837165808651013,Up,ns,ns
REEP3,3.456170917390376,2.8967444317329045,0.5594264856574713,4.724434918190662,43.614835533211945,2.4198507903028244e-05,0.00013752387312269127,0.14373525423614425,0.14588762458160612,ns,ns,ns
RER1,5.514944589928827,5.01946689715643,0.49547769277239784,4.723863524293546,43.614835533211945,2.424348491447681e-05,0.00013771811274580079,0.10947666459071573,0.11446841666613325,ns,ns,ns
P4HA2,4.533651716099215,3.5768718054668205,0.9567799106323949,4.723143695753548,43.614835533211945,2.430026295296983e-05,0.000137979186749432,0.4502156099435415,0.4269666216343569,Up,ns,ns
SH3GL1,5.842530674208525,5.204761362480003,0.6377693117285217,4.722947937883812,43.614835533211945,2.43157263886129e-05,0.00013800554456340914,0.1915383032412476,0.18972871527534693,Up,ns,ns
